ID,Nome_Item,Categoria,Subcategoria,Compostos_Chave,Fonte_Alimentar,Tipo_Obtencao,Beneficio_Principal,Mecanismo_Acao,Objetivo_Primario,Cronobiologia_Periodo,Momento_Refeicao,Funcao_Cronobiologica,Forma_Consumo,Uso_Pratico,Observacoes,
1,Spirulina,Alimento Funcional,Cianobactéria,Ficocianina,Arthrospira platensis,Matriz Alimentar,Antioxidante celular,Ação via ficocianina,Imunidade e Longevidade,Manhã,Independente,Ativação,Pó,Smoothies/iogurtes/sopas,
2,Matcha,Alimento Funcional,Chá,EGCG + L-teanina,Camellia sinensis,Matriz Alimentar,Energia mental focada,Ondas alfa,Cognição e Foco,Manhã,Independente,Sustentação Mental,Pó,Chá/latte/smoothie,
3,Camu-camu,Alimento Funcional,Fruta,Vitamina C,Myrciaria dubia,Matriz Alimentar,Antioxidante estrutural,Colágeno e ROS,Imunidade e Pele,Qualquer horário,Independente,Suporte Estrutural,Pó/Suco,Smoothies/sucos,
4,Sacha inchi,Alimento Funcional,Oleaginosa,Ômega-3 ALA,Plukenetia volubilis,Matriz Alimentar,Perfil lipídico saudável,Ácidos graxos essenciais,Saúde Cardiovascular,Almoço,Durante a refeição,Metabolismo Lipídico,Óleo/Semente,Alimentos,
5,Moringa,Alimento Funcional,Folha,Isotiocianatos,Moringa oleifera,Matriz/Suplemento,Ativação celular,Nrf2,Longevidade Celular,Manhã,Independente,Ativação,Pó/Cápsula,Receitas,
6,Ashwagandha,Fitoterápico,Adaptógeno,Withanolides,Withania somnifera,Suplementação,Redução do estresse,Eixo HPA,Gerenciamento de Estresse,Noite,Independente,Relaxamento,Cápsula/Chá,,
7,Lion's Mane,Suplemento,Cogumelo,Hericenonas,Hericium erinaceus,Suplementação,Neurogênese,NGF,Cognição,Manhã,Independente,Neuroplasticidade,Pó/Extrato,Café/chá,
8,Chaga,Suplemento,Cogumelo,Betulina,Inonotus obliquus,Suplementação,Proteção imune,Citotoxicidade seletiva,Imunidade,Manhã,Independente,Proteção Celular,Chá/Extrato,,
9,Saffron,Fitoterápico,Especiaria,Crocina,Crocus sativus,Matriz/Extrato,Humor,Serotonina,Humor e Bem-estar,Tarde,Independente,Estabilidade Emocional,Extrato/Chá,,
10,Ginkgo biloba,Fitoterápico,Nootrópico,Ginkgólidos,Ginkgo biloba,Suplementação,Fluxo cerebral,Vasodilatação,Cognição,Manhã,Independente,Fluxo Cerebral,Cápsula,,
11,Royal jelly,Alimento Funcional,Apícola,10-HDA,Geleia real,Matriz/Suplemento,Regeneração,Fatores de crescimento,Imunidade,Manhã,Jejum,Vitalidade,Sublingual,,
12,Nattō,Alimento Funcional,Fermentado,Vitamina K2,Soja fermentada,Matriz Alimentar,Saúde óssea,Nattokinase,Saúde Cardiovascular,Noite,Durante a refeição,Microbiota,Alimento,Arroz,
13,Baobab,Alimento Funcional,Fruta,Pectinas + Polifenóis,Adansonia digitata,Matriz Alimentar,Pré-biótico e controle glicêmico,Fibra solúvel e microbiota,Saúde Intestinal,Qualquer horário,Independente,Modulação Glicêmica,Pó,Smoothies/sucos,
14,Sea buckthorn,Alimento Funcional,Fruta/Óleo,Ômega-7,Hippophaë rhamnoides,Matriz Alimentar,Regeneração de mucosas,Epitelização,Pele e Mucosas,Qualquer horário,Independente,Regeneração,Óleo/Suco,,
15,Black garlic,Alimento Funcional,Fermentado,S-alil-cisteína,Alho fermentado,Matriz Alimentar,Antioxidante potente,Redução de estresse oxidativo,Imunidade e Coração,Almoço,Durante a refeição,Antioxidante,Alimento,Puro ou culinária,
16,Goji berry,Alimento Funcional,Fruta,Polissacarídeos LBPs,Lycium barbarum,Matriz Alimentar,Imunidade e energia,Modulação imune,Imunidade,Manhã,Independente,Energia Suave,Fruta,Smoothies/lanches,
17,Chlorella,Alimento Funcional,Alga,Clorofila bioativa,Chlorella vulgaris,Suplementação,Desintoxicação,Quelante metálico,Detoxificação,Noite,Independente,Limpeza Celular,Comprimidos/Pó,Evitar junto a medicamentos,
18,Maca Peruana,Alimento Funcional,Raiz,Macamidas,Lepidium meyenii,Matriz Alimentar,Regulação hormonal,Modulação endócrina,Vitalidade Hormonal,Manhã,Independente,Energia Física,Pó,Bebidas,
19,Graviola,Alimento Funcional,Fruta,Acetogeninas,Annona muricata,Matriz Alimentar,Saúde celular,Citotoxicidade seletiva,Saúde Celular,Qualquer horário,Independente,Preventivo,Polpa/Chá,,
20,Kefir,Alimento Funcional,Fermentado,Probióticos,Kefir de leite/água,Matriz Alimentar,Saúde intestinal,Colonização bacteriana,Microbiota,Noite,Durante a refeição,Diversidade Microbiana,Bebida,,
21,Folha de amoreira,Fitoterápico,Chá,DNJ,Morus alba,Infusão,Controle glicêmico,Inibição alfa-glucosidase,Controle Glicêmico,Almoço,Antes da refeição,Bloqueio de Carboidratos,Chá,,
22,Batata-doce fermentada,Alimento Funcional,Prebiótico,Dextrina resistente,Batata-doce,Matriz Alimentar,Produção de butirato,Fermentação colônica,Saúde Intestinal,Almoço,Durante a refeição,Nutrição Intestinal,Alimento,,
23,Cupuaçu,Alimento Funcional,Fruta,Teobromina + TCM,Theobroma grandiflorum,Matriz Alimentar,Energia sustentada,Estimulação leve,Energia Mental,Manhã,Independente,Energia Sustentada,Polpa,,
24,Piper longum,Especiaria,Pimenta,Piperlongumina,Piper longum,Matriz Alimentar,Metabolismo e nervos,Ativação metabólica,Metabolismo,Almoço,Durante a refeição,Termogênico,Tempero/Infusão,,
