ID,Nome_Item,Categoria,Subcategoria,Compostos_Chave,Fonte_Alimentar,Tipo_Obtencao,Beneficio_Principal,Mecanismo_Acao,Objetivo_Primario,Cronobiologia_Periodo,Momento_Refeicao,Funcao_Cronobiologica,Forma_Consumo,Uso_Pratico,Observacoes
1,Ficocianina (Spirulina),Alimento Funcional,Cianobactéria,Ficocianina;Proteínas,Arthrospira platensis,Matriz Alimentar,Antioxidante celular,Suporte redox via ficocianina,Imunidade e Longevidade,Manhã,Independente,Ativação,Pó,Smoothies e sopas,Cuidado com metais pesados
2,EGCG (Matcha),Alimento Funcional,Chá,EGCG;L-teanina,Camellia sinensis,Matriz Alimentar,Energia mental focada,Modulação de ondas alfa e GABA,Cognição e Foco,Manhã,Independente,Sustentação Mental,Pó,Chá e Latte,Evitar à noite (cafeína)
3,Vitamina C (Camu-camu),Alimento Funcional,Fruta,Vitamina C,Myciaria dubia,Matriz Alimentar,Suporte ao colágeno,Neutralização de ROS,Imunidade e Pele,Qualquer Horário,Independente,Suporte Estrutural,Pó/Suco,Smoothies e sucos,Sensível ao calor
4,Ômega-3 ALA (Sacha Inchi),Alimento Funcional,Oleaginosa,Ômega-3 (ALA),Plukenetia volubilis,Matriz Alimentar,Perfil lipídico saudável,Conversão parcial a EPA/DHA,Saúde Cardiovascular,Almoço,Durante a refeição,Metabolismo Lipídico,Óleo/Semente,Saladas e bowls,Conversão limitada a EPA/DHA
5,Isotiocianatos (Moringa),Alimento Funcional,Folha,Isotiocianatos;Vit A/C,Moringa oleifera,Matriz/Suplemento,Ativação celular,Ativação Nrf2;Antioxidante,Longevidade Celular,Manhã,Independente,Ativação,Pó/Cápsula,Smoothies e sopas,Evitar na gravidez
6,Withanolides (Ashwagandha),Fitoterápico,Adaptógeno,Withanolides,Withania somnifera,Suplementação,Redução do estresse,Modulação do eixo HPA,Gerenciamento de Estresse,Noite,Independente,Relaxamento,Cápsula/Chá,Tomar para reduzir cortisol,Pode potencializar sedativos
7,Hericenonas (Lion's Mane),Suplemento,Cogumelo,Hericenonas;Erinacinas,Hericium erinaceus,Suplementação,Neurogênese,Estimulação de NGF,Cognição,Manhã,Independente,Neuroplasticidade,Pó/Extrato,Café ou chá,Uso contínuo (semanas)
8,Betulina (Chaga),Suplemento,Cogumelo,Betulina;Polissacarídeos,Inonotus obliquus,Suplementação,Proteção imune,Modulação imune,Imunidade,Manhã,Independente,Proteção Celular,Chá/Extrato,Infundir como chá,Interação com anticoagulantes
9,Crocina (Açafrão),Fitoterápico,Especiaria,Crocina;Safranal,Crocus sativus,Matriz/Extrato,Melhora de humor,Modulação serotoninérgica,Humor e Bem-estar,Tarde,Independente,Estabilidade Emocional,Extrato/Chá,Doses padronizadas,Cuidado com antidepressivos
10,Ginkgólidos (Ginkgo Biloba),Fitoterápico,Nootrópico,Ginkgólidos;Flavonóides,Ginkgo biloba,Suplementação,Fluxo cerebral,Vasodilatação cerebral,Cognição,Manhã,Independente,Fluxo Cerebral,Cápsula,Com alimentos,Evitar com anticoagulantes
11,10-HDA (Geleia Real),Suplemento,Apícola,10-HDA;Peptídeos,Geleia Real,Matriz/Suplemento,Vitalidade e anabolismo,Fatores de crescimento,Imunidade e Vitalidade,Manhã,Jejum,Vitalidade,Sublingual,0.5-1g/dia,Atenção a alergias apícolas
12,Vitamina K2/MK7 (Nattō),Alimento Funcional,Fermentado,Vitamina K2;Nattokinase,Soja fermentada,Matriz Alimentar,Saúde óssea e vascular,Carboxilação de osteocalcina,Saúde Cardiovascular,Noite,Durante a refeição,Microbiota,Alimento,Consumir com arroz,Evitar com Warfarina
13,Pectinas (Baobab),Alimento Funcional,Fruta,Pectinas;Polifenóis,Adansonia digitata,Matriz Alimentar,Pré-biótico,Modulação da microbiota,Saúde Intestinal,Qualquer Horário,Independente,Modulação Glicêmica,Pó,Smoothies e sucos,Rico em fibras solúveis
14,Ômega-7 (Sea Buckthorn),Alimento Funcional,Fruta/Óleo,Ômega-7;Vitamina C,Hippophae rhamnoides,Matriz Alimentar,Regeneração de mucosas,Estimulação da epitelização,Pele e Mucosas,Qualquer Horário,Independente,Regeneração,Óleo/Suco,Uso tópico ou oral,Pode causar desconforto GI
15,S-alil-cisteína (Alho Negro),Alimento Funcional,Fermentado,S-alil-cisteína,Alho fermentado,Matriz Alimentar,Antioxidante potente,Redução do estresse oxidativo,Imunidade e Coração,Almoço,Durante a refeição,Antioxidante,Alimento,Puro ou culinária,Menor odor que alho cru
16,Polissacarídeos (Goji Berry),Alimento Funcional,Fruta,LBPs;Carotenoides,Lycium barbarum,Matriz Alimentar,Modulação imune,Estimulação imune,Imunidade,Manhã,Independente,Energia Suave,Fruta,Smoothies e lanches,Interação com anticoagulantes
17,Clorofila (Chlorella),Alimento Funcional,Alga,Clorofila;Peptídeos,Chlorella vulgaris,Suplementação,Desintoxicação,Quelância de metais,Detoxificação,Noite,Independente,Limpeza Celular,Comprimidos/Pó,Detox noturno,Consultar profissional
